code	label	tree
M8947	M8947 (Autres ostéoarthropathies hypertrophiantes   Cheville et pied)	ICD10FR (code CIM10)-Chap13 (MALADIES SYST OSTEO ART MUSCLES ET TISSU CONJONCTIF)-M89 (MAL. OSSEUSES, NCA)-M8947 (Autres ostéoarthropathies hypertrophiantes   Cheville et pied)
Q923	Q923 (Trisomie partielle mineure)	ICD10FR (code CIM10)-Chap17 (ANOMALIES CONGENITALES)-Q92 (TRISOMIES ET TRISOMIES PART. DES AUTOSOMES, NCA)-Q923 (Trisomie partielle mineure)
Q802	Q802 (Ichtyose lamellaire)	ICD10FR (code CIM10)-Chap17 (ANOMALIES CONGENITALES)-Q80 (ICHTYOSE CONG.)-Q802 (Ichtyose lamellaire)
M2393	M2393 (Lésion interne du genou, sans précision   LIC/Autre partie MI)	ICD10FR (code CIM10)-Chap13 (MALADIES SYST OSTEO ART MUSCLES ET TISSU CONJONCTIF)-M23 (LES. INT. DU GENOU)-M2393 (Lésion interne du genou, sans précision   LIC/Autre partie MI)
M8531	M8531 (Ostéite condensante   Région scapulaire)	ICD10FR (code CIM10)-Chap13 (MALADIES SYST OSTEO ART MUSCLES ET TISSU CONJONCTIF)-M85 (ANOM. DE LA DENSITE ET DE LA STRUCTURE OSSEUSES, NCA)-M8531 (Ostéite condensante   Région scapulaire)
X060	X060 (( CIM10 : X06.0 ))	ICD10FR (code CIM10)-Chap20 (CAUSES EXTERNES DE MORBIDITE ET DE MORTALITE)-X06 (X06)-X060 (( CIM10 : X06.0 ))
O020	O020 (Oeuf clair et môle hydatiforme)	ICD10FR (code CIM10)-Chap15 (COMPLICATIONS GROSSESSE ACCOUCHEMENT ET SUITES)-O02 (PROD. Anx. DE LA CONCEPTION, NCA)-O020 (Oeuf clair et môle hydatiforme)
S430	S430 (Luxation de l'articulation de l'épaule)	ICD10FR (code CIM10)-Chap19 (LESIONS TRAUMATIQUES ET EMPOISONNEMENTS)-S43 (LUX., ENTORSE DES ARTIC. ET DES LIG. DE LA CEINTURE SCAP.)-S430 (Luxation de l'articulation de l'épaule)
P93	P93 (REAC. ET INTOX. MEDICAM. DU N.N.)	ICD10FR (code CIM10)-Chap16 (AFFECTION ORIGINE PERINATALE)-P93 (REAC. ET INTOX. MEDICAM. DU N.N.)
R36	R36 (ECOULEMENT URETRAL)	ICD10FR (code CIM10)-Chap18 (SYMPTOMES SIGNES ET ETATS MORBIDES)-R36 (ECOULEMENT URETRAL)
A922	A922 (Fièvre équine vénézuélienne)	ICD10FR (code CIM10)-Chap1 (MALADIES INFECTIEUSES ET PARASITAIRES)-A92 (FIEVRES VIRALES TRANSMISES PAR DES MOUSTIQUES, NCA)-A922 (Fièvre équine vénézuélienne)
B818	B818 (Autres helminthiases intestinales précisées)	ICD10FR (code CIM10)-Chap1 (MALADIES INFECTIEUSES ET PARASITAIRES)-B81 (HELMINTHIASES INTEST., NCA)-B818 (Autres helminthiases intestinales précisées)
K134	K134 (Granulome et lésions pseudo granulomateuses de la muqueuse buccale)	ICD10FR (code CIM10)-Chap11 (MALADIES APPAREIL DIGESTIF)-K13 (MAL. DES LEVRES ET DE LA MUQ. BUCC., NCA)-K134 (Granulome et lésions pseudo granulomateuses de la muqueuse buccale)
Z718	Z718 (Autres conseils précisés)	ICD10FR (code CIM10)-Chap21 (FACTEURS INFLUANT L'ETAT DE SANTE)-Z71 (SUJETS EN CONTACT AVEC SERV. DE SANTE POUR CONSEILS, AVIS ME)-Z718 (Autres conseils précisés)
Z017	Z017 (Examens de laboratoire)	ICD10FR (code CIM10)-Chap21 (FACTEURS INFLUANT L'ETAT DE SANTE)-Z01 (EX. Spc. ET INVESTIG. NCA DE SUJETS AVEC AUCUN DIAG. FAIT)-Z017 (Examens de laboratoire)
R628	R628 (Autres retards du développement physiologique)	ICD10FR (code CIM10)-Chap18 (SYMPTOMES SIGNES ET ETATS MORBIDES)-R62 (RETARD DU DEVELOP. PHYSIO.)-R628 (Autres retards du développement physiologique)
M2586	M2586 (Autres affections articulaires précisées   Articulation du genou)	ICD10FR (code CIM10)-Chap13 (MALADIES SYST OSTEO ART MUSCLES ET TISSU CONJONCTIF)-M25 (AFF. ARTIC., NCA)-M2586 (Autres affections articulaires précisées   Articulation du genou)
T674	T674 (Épuisement dû à la chaleur avec perte de sel)	ICD10FR (code CIM10)-Chap19 (LESIONS TRAUMATIQUES ET EMPOISONNEMENTS)-T67 (EFFETS DE LA CHALEUR ET DE LA LUMIERE)-T674 (Épuisement dû à la chaleur avec perte de sel)
X287	X287 (( CIM10 : X28.7 ))	ICD10FR (code CIM10)-Chap20 (CAUSES EXTERNES DE MORBIDITE ET DE MORTALITE)-X28 (X28)-X287 (( CIM10 : X28.7 ))
W523	W523 (( CIM10 : W52.3 ))	ICD10FR (code CIM10)-Chap20 (CAUSES EXTERNES DE MORBIDITE ET DE MORTALITE)-W52 (W52)-W523 (( CIM10 : W52.3 ))
J342	J342 (Déviation de la cloison (nasale))	ICD10FR (code CIM10)-Chap10 (MALADIES APPAREIL RESPIRATOIRE)-J34 (MAL. DU NEZ ET DES SINUS DU NEZ, NCA)-J342 (Déviation de la cloison (nasale))
M6260	M6260 (Foulure musculaire   Sièges multiples)	ICD10FR (code CIM10)-Chap13 (MALADIES SYST OSTEO ART MUSCLES ET TISSU CONJONCTIF)-M62 (ATTEINTES MUSC., NCA)-M6260 (Foulure musculaire   Sièges multiples)
W289	W289 (( CIM10 : W28.9 ))	ICD10FR (code CIM10)-Chap20 (CAUSES EXTERNES DE MORBIDITE ET DE MORTALITE)-W28 (W28)-W289 (( CIM10 : W28.9 ))
M8395	M8395 (Ostéomalacie de l'adulte, sans précision   Région pelvienne et cuisse)	ICD10FR (code CIM10)-Chap13 (MALADIES SYST OSTEO ART MUSCLES ET TISSU CONJONCTIF)-M83 (OSTEOMALACIE DE L'ADULTE)-M8395 (Ostéomalacie de l'adulte, sans précision   Région pelvienne et cuisse)
V886	V886 (( CIM10 : V88.6 ))	ICD10FR (code CIM10)-Chap20 (CAUSES EXTERNES DE MORBIDITE ET DE MORTALITE)-V88 (V88)-V886 (( CIM10 : V88.6 ))
X400	X400 (( CIM10 : X40.0 ))	ICD10FR (code CIM10)-Chap20 (CAUSES EXTERNES DE MORBIDITE ET DE MORTALITE)-X40 (X40)-X400 (( CIM10 : X40.0 ))
K87	K87 (ATTEINTES VESIC. BIL., VOIES BIL. ET PANCREAS AVEC MAL. CL.)	ICD10FR (code CIM10)-Chap11 (MALADIES APPAREIL DIGESTIF)-K87 (ATTEINTES VESIC. BIL., VOIES BIL. ET PANCREAS AVEC MAL. CL.)
B278	B278 (Autres mononucléoses infectieuses)	ICD10FR (code CIM10)-Chap1 (MALADIES INFECTIEUSES ET PARASITAIRES)-B27 (MONONUCLEOSE INFECT.)-B278 (Autres mononucléoses infectieuses)
Z991+8	Z991+8 (Dépendance envers un respirateur : ventilation par un autre moyen)	ICD10FR (code CIM10)-Chap21 (FACTEURS INFLUANT L'ETAT DE SANTE)-Z99 (DEPENDANCE ENVERS DES MACHINES ET APP. AUXILIAIRES, NCA)-Z991+8 (Dépendance envers un respirateur : ventilation par un autre moyen)
Z138	Z138 (Examen spécial de dépistage d'autres maladies précisées)	ICD10FR (code CIM10)-Chap21 (FACTEURS INFLUANT L'ETAT DE SANTE)-Z13 (DEPIST. D'AUTRES MAL. ET ETATS PATHO.)-Z138 (Examen spécial de dépistage d'autres maladies précisées)
E035	E035 (Coma myxodémateux)	ICD10FR (code CIM10)-Chap4 (MALADIES ENDOCRINES ,NUTRITION ,METABOLISME ET TR IMMUNITAIRE)-E03 (HYPOTHYROIDIES, NCA)-E035 (Coma myxodémateux)
G549	G549 (Affection des racines et des plexus nerveux, sans précision)	ICD10FR (code CIM10)-Chap6 (MALADIES DU SYSTEME NERVEUX)-G54 (AFF. RACINES, PLEX. NERV.)-G549 (Affection des racines et des plexus nerveux, sans précision)
G902	G902 (Syndrome de Claude Bernard Horner)	ICD10FR (code CIM10)-Chap6 (MALADIES DU SYSTEME NERVEUX)-G90 (AFF. DU SYST. NERV. AUTONOME)-G902 (Syndrome de Claude Bernard Horner)
J673	J673 (Subérose)	ICD10FR (code CIM10)-Chap10 (MALADIES APPAREIL RESPIRATOIRE)-J67 (PNEUMOPATHIE PAR HYPERSENSIBILITE AUX POUSSIERES ORG.)-J673 (Subérose)
T13	T13 (LES. TRAUMA. NCA DU Mb. INF., NIVEAU SAI)	ICD10FR (code CIM10)-Chap19 (LESIONS TRAUMATIQUES ET EMPOISONNEMENTS)-T13 (LES. TRAUMA. NCA DU Mb. INF., NIVEAU SAI)
T301	T301 (Brûlure du premier degré, (partie du corps non précisée))	ICD10FR (code CIM10)-Chap19 (LESIONS TRAUMATIQUES ET EMPOISONNEMENTS)-T30 (BRULURE ET CORROSION, PARTIE DU CORPS SAI)-T301 (Brûlure du premier degré, (partie du corps non précisée))
M6008	M6008 (Myosite infectieuse   Autres localisations)	ICD10FR (code CIM10)-Chap13 (MALADIES SYST OSTEO ART MUSCLES ET TISSU CONJONCTIF)-M60 (MYOSITE)-M6008 (Myosite infectieuse   Autres localisations)
K764	K764 (Péliose hépatique)	ICD10FR (code CIM10)-Chap11 (MALADIES APPAREIL DIGESTIF)-K76 (MAL. DU FOIE, NCA)-K764 (Péliose hépatique)
T375	T375 (Intoxication par antiviraux)	ICD10FR (code CIM10)-Chap19 (LESIONS TRAUMATIQUES ET EMPOISONNEMENTS)-T37 (INTOX. PAR D'AUTRES ANTI INFECT. ET ANTIPARASIT. SYSTEMIQUES)-T375 (Intoxication par antiviraux)
W162	W162 (( CIM10 : W16.2 ))	ICD10FR (code CIM10)-Chap20 (CAUSES EXTERNES DE MORBIDITE ET DE MORTALITE)-W16 (W16)-W162 (( CIM10 : W16.2 ))
M4938	M4938 (Spondylopathie au cours d'autres maladies infectieuses et parasitaires classées ailleurs   Région sacrée et sacro coccygienne)	ICD10FR (code CIM10)-Chap13 (MALADIES SYST OSTEO ART MUSCLES ET TISSU CONJONCTIF)-M49 (SPONDYLOPATHIES AVEC MAL. CL. AILL.)-M4938 (Spondylopathie au cours d'autres maladies infectieuses et parasitaires classées ailleurs   Région sacrée et sacro coccygienne)
S201	S201 (Lésions traumatiques superficielles du sein, autres et non précisées)	ICD10FR (code CIM10)-Chap19 (LESIONS TRAUMATIQUES ET EMPOISONNEMENTS)-S20 (LES. TRAUMA. SUPERF. DU THOR.)-S201 (Lésions traumatiques superficielles du sein, autres et non précisées)
P036	P036 (Fotus et nouveau né affectés par des contractions anormales de l'utérus)	ICD10FR (code CIM10)-Chap16 (AFFECTION ORIGINE PERINATALE)-P03 (N.N. AFF. PAR D'AUTRES COMPLIC. DU TRAVAIL ET DE L'ACCOUCH.)-P036 (Fotus et nouveau né affectés par des contractions anormales de l'utérus)
D4830	D4830 (Tératome sacrococcygien [dysembryome])	ICD10FR (code CIM10)-Chap2 (TUMEURS)-D48 (T. EV. IMPR., INC. DE SIEGES NCA OU SAI)-D4830 (Tératome sacrococcygien [dysembryome])
Q938	Q938 (Autres délétions des autosomes)	ICD10FR (code CIM10)-Chap17 (ANOMALIES CONGENITALES)-Q93 (MONOSOMIES ET DELETIONS DES AUTOSOMES, NCA)-Q938 (Autres délétions des autosomes)
Z00	Z00 (EX. Gal. ET INVESTIG. DE SUJETS POUR LESQUELS AUCUN DIAG. N')	ICD10FR (code CIM10)-Chap21 (FACTEURS INFLUANT L'ETAT DE SANTE)-Z00 (EX. Gal. ET INVESTIG. DE SUJETS POUR LESQUELS AUCUN DIAG. N')
V599	V599 (( CIM10 : V59.9 ))	ICD10FR (code CIM10)-Chap20 (CAUSES EXTERNES DE MORBIDITE ET DE MORTALITE)-V59 (V59)-V599 (( CIM10 : V59.9 ))
M6643	M6643 (Déchirure spontanée d'autres tendons   Avant bras)	ICD10FR (code CIM10)-Chap13 (MALADIES SYST OSTEO ART MUSCLES ET TISSU CONJONCTIF)-M66 (DECHIRURE SPONT. DE LA SYNOVIALE ET DU TENDON)-M6643 (Déchirure spontanée d'autres tendons   Avant bras)
R48	R48 (DYSLEXIE ET AUTRES Tbl. DE LA Fct. SYMBOLIQUE, NCA)	ICD10FR (code CIM10)-Chap18 (SYMPTOMES SIGNES ET ETATS MORBIDES)-R48 (DYSLEXIE ET AUTRES Tbl. DE LA Fct. SYMBOLIQUE, NCA)
T836	T836 (Infection et réaction inflammatoire dues à une prothèse, un implant et une greffe de l'appareil génital)	ICD10FR (code CIM10)-Chap19 (LESIONS TRAUMATIQUES ET EMPOISONNEMENTS)-T83 (COMPLIC. DE PROTH., IMPL., GREF. GEN URIN.)-T836 (Infection et réaction inflammatoire dues à une prothèse, un implant et une greffe de l'appareil génital)
B390	B390 (Histoplasmose pulmonaire aiguë à Histoplasma capsulatum)	ICD10FR (code CIM10)-Chap1 (MALADIES INFECTIEUSES ET PARASITAIRES)-B39 (HISTOPLASMOSE)-B390 (Histoplasmose pulmonaire aiguë à Histoplasma capsulatum)
N029	N029 (Hématurie récidivante et persistante, sans précision)	ICD10FR (code CIM10)-Chap14 (MALADIES ORGANES GENITO URINAIRES)-N02 (HEMATURIE RECID., PERSIST.)-N029 (Hématurie récidivante et persistante, sans précision)
O450	O450 (Décollement prématuré du placenta avec anomalie de la coagulation)	ICD10FR (code CIM10)-Chap15 (COMPLICATIONS GROSSESSE ACCOUCHEMENT ET SUITES)-O45 (DECOLLEMENT PREMATURE DU PLACENTA)-O450 (Décollement prématuré du placenta avec anomalie de la coagulation)
Y12	Y12 (Y12)	ICD10FR (code CIM10)-Chap20 (CAUSES EXTERNES DE MORBIDITE ET DE MORTALITE)-Y12 (Y12)
M7690	M7690 (Enthésopathie du membre inférieur, sans précision   Sièges multiples)	ICD10FR (code CIM10)-Chap13 (MALADIES SYST OSTEO ART MUSCLES ET TISSU CONJONCTIF)-M76 (ENTHESOPATHIES DU Mb. INF., SAUF LE PIED)-M7690 (Enthésopathie du membre inférieur, sans précision   Sièges multiples)
V253	V253 (( CIM10 : V25.3 ))	ICD10FR (code CIM10)-Chap20 (CAUSES EXTERNES DE MORBIDITE ET DE MORTALITE)-V25 (V25)-V253 (( CIM10 : V25.3 ))
M4625	M4625 (Ostéomyélite vertébrale   Région dorso lombaire)	ICD10FR (code CIM10)-Chap13 (MALADIES SYST OSTEO ART MUSCLES ET TISSU CONJONCTIF)-M46 (SPONDYLOPATHIES INFL., NCA)-M4625 (Ostéomyélite vertébrale   Région dorso lombaire)
W84	W84 (W84)	ICD10FR (code CIM10)-Chap20 (CAUSES EXTERNES DE MORBIDITE ET DE MORTALITE)-W84 (W84)
F411	F411 (Anxiété généralisée)	ICD10FR (code CIM10)-Chap5 (TROUBLES MENTAUX)-F41 (Tbl. ANXIEUX, NCA)-F411 (Anxiété généralisée)
M8954	M8954 (Ostéolyse   Main)	ICD10FR (code CIM10)-Chap13 (MALADIES SYST OSTEO ART MUSCLES ET TISSU CONJONCTIF)-M89 (MAL. OSSEUSES, NCA)-M8954 (Ostéolyse   Main)
T180	T180 (Corps étranger dans la bouche)	ICD10FR (code CIM10)-Chap19 (LESIONS TRAUMATIQUES ET EMPOISONNEMENTS)-T18 (C.E. DANS LES VOIES DIG.)-T180 (Corps étranger dans la bouche)
B370	B370 (Stomatite à Candida)	ICD10FR (code CIM10)-Chap1 (MALADIES INFECTIEUSES ET PARASITAIRES)-B37 (CANDIDOSE)-B370 (Stomatite à Candida)
Y263	Y263 (( CIM10 : Y26.3 ))	ICD10FR (code CIM10)-Chap20 (CAUSES EXTERNES DE MORBIDITE ET DE MORTALITE)-Y26 (Y26)-Y263 (( CIM10 : Y26.3 ))
V405	V405 (( CIM10 : V40.5 ))	ICD10FR (code CIM10)-Chap20 (CAUSES EXTERNES DE MORBIDITE ET DE MORTALITE)-V40 (V40)-V405 (( CIM10 : V40.5 ))
S636	S636 (Entorse et foulure de doigt(s))	ICD10FR (code CIM10)-Chap19 (LESIONS TRAUMATIQUES ET EMPOISONNEMENTS)-S63 (LUX., ENTORSE D'ARTIC. ET DE LIG. NIV. POIGNET, MAIN)-S636 (Entorse et foulure de doigt(s))
Q851	Q851 (Sclérose tubéreuse)	ICD10FR (code CIM10)-Chap17 (ANOMALIES CONGENITALES)-Q85 (PHACOMATOSES, NCA)-Q851 (Sclérose tubéreuse)
M5398	M5398 (Dorsopathie, sans précision   Région sacrée et sacro coccygienne)	ICD10FR (code CIM10)-Chap13 (MALADIES SYST OSTEO ART MUSCLES ET TISSU CONJONCTIF)-M53 (DORSOPATHIES, NCA)-M5398 (Dorsopathie, sans précision   Région sacrée et sacro coccygienne)
M4801	M4801 (Rétrécissement du canal médullaire   Région occipito atloïdo axoïdienne)	ICD10FR (code CIM10)-Chap13 (MALADIES SYST OSTEO ART MUSCLES ET TISSU CONJONCTIF)-M48 (SPONDYLOPATHIES, NCA)-M4801 (Rétrécissement du canal médullaire   Région occipito atloïdo axoïdienne)
M7195	M7195 (Bursite, sans précision   Région pelvienne et cuisse)	ICD10FR (code CIM10)-Chap13 (MALADIES SYST OSTEO ART MUSCLES ET TISSU CONJONCTIF)-M71 (BURSITES, NCA)-M7195 (Bursite, sans précision   Région pelvienne et cuisse)
D446	D446 (Tumeur à évolution imprévisible ou inconnue du corpuscule carotidien)	ICD10FR (code CIM10)-Chap2 (TUMEURS)-D44 (T. EV. IMPR., INC. DES Gld. ENDOCRINES)-D446 (Tumeur à évolution imprévisible ou inconnue du corpuscule carotidien)
L94	L94 (AFF. LOC. DU TISSU CONJ., NCA)	ICD10FR (code CIM10)-Chap12 (MALADIES PEAU ET TISSU SS CUTANE)-L94 (AFF. LOC. DU TISSU CONJ., NCA)
O267	O267 (Subluxation de la symphyse (pubienne) au cours de la grossesse, de l'accouchement et de la puerpéralité)	ICD10FR (code CIM10)-Chap15 (COMPLICATIONS GROSSESSE ACCOUCHEMENT ET SUITES)-O26 (SOINS MAT. POUR D'AUTRES AFF. LIEES A LA GROSS.)-O267 (Subluxation de la symphyse (pubienne) au cours de la grossesse, de l'accouchement et de la puerpéralité)
V773	V773 (( CIM10 : V77.3 ))	ICD10FR (code CIM10)-Chap20 (CAUSES EXTERNES DE MORBIDITE ET DE MORTALITE)-V77 (V77)-V773 (( CIM10 : V77.3 ))
M0129	M0129 (Arthrite au cours de la maladie de Lyme (A69.2)   Siège non précisé)	ICD10FR (code CIM10)-Chap13 (MALADIES SYST OSTEO ART MUSCLES ET TISSU CONJONCTIF)-M01 (ARTHRITES INFECT. DIRECTES AVEC MAL. INFECT. ET PARASIT. CL.)-M0129 (Arthrite au cours de la maladie de Lyme (A69.2)   Siège non précisé)
O109	O109 (Hypertension préexistante compliquant la grossesse, l'accouchement et la puerpéralité, sans précision)	ICD10FR (code CIM10)-Chap15 (COMPLICATIONS GROSSESSE ACCOUCHEMENT ET SUITES)-O10 (HYPERTENSION PREEX. COMPLIQ. LA GROSS., L'ACCOUCH. ET LA PUE)-O109 (Hypertension préexistante compliquant la grossesse, l'accouchement et la puerpéralité, sans précision)
V759	V759 (( CIM10 : V75.9 ))	ICD10FR (code CIM10)-Chap20 (CAUSES EXTERNES DE MORBIDITE ET DE MORTALITE)-V75 (V75)-V759 (( CIM10 : V75.9 ))
Y015	Y015 (( CIM10 : Y01.5 ))	ICD10FR (code CIM10)-Chap20 (CAUSES EXTERNES DE MORBIDITE ET DE MORTALITE)-Y01 (Y01)-Y015 (( CIM10 : Y01.5 ))
W678	W678 (( CIM10 : W67.8 ))	ICD10FR (code CIM10)-Chap20 (CAUSES EXTERNES DE MORBIDITE ET DE MORTALITE)-W67 (W67)-W678 (( CIM10 : W67.8 ))
M081	M081 (Spondylarthrite ankylosante juvénile)	ICD10FR (code CIM10)-Chap13 (MALADIES SYST OSTEO ART MUSCLES ET TISSU CONJONCTIF)-M08 (POLYARTHRITES JUV.)-M081 (Spondylarthrite ankylosante juvénile)
K274	K274 (Ulcère digestif, de siège non précisé, chronique ou non précisé, avec hémorragie)	ICD10FR (code CIM10)-Chap11 (MALADIES APPAREIL DIGESTIF)-K27 (ULCERE DIG., DE SIEGE SAI)-K274 (Ulcère digestif, de siège non précisé, chronique ou non précisé, avec hémorragie)
L430	L430 (Lichen plan hypertrophique)	ICD10FR (code CIM10)-Chap12 (MALADIES PEAU ET TISSU SS CUTANE)-L43 (LICHEN PLAN)-L430 (Lichen plan hypertrophique)
L651	L651 (Anagène)	ICD10FR (code CIM10)-Chap12 (MALADIES PEAU ET TISSU SS CUTANE)-L65 (FORMES NON CICATRICIELLES DE RAREFACTION DU SYST. PILEUX, NC)-L651 (Anagène)
Y060	Y060 (( CIM10 : Y06.0 ))	ICD10FR (code CIM10)-Chap20 (CAUSES EXTERNES DE MORBIDITE ET DE MORTALITE)-Y06 (Y06)-Y060 (( CIM10 : Y06.0 ))
M548	M548 (Autres dorsalgies)	ICD10FR (code CIM10)-Chap13 (MALADIES SYST OSTEO ART MUSCLES ET TISSU CONJONCTIF)-M54 (DORSALGIES)-M548 (Autres dorsalgies)
Y188	Y188 (( CIM10 : Y18.8 ))	ICD10FR (code CIM10)-Chap20 (CAUSES EXTERNES DE MORBIDITE ET DE MORTALITE)-Y18 (Y18)-Y188 (( CIM10 : Y18.8 ))
W171	W171 (( CIM10 : W17.1 ))	ICD10FR (code CIM10)-Chap20 (CAUSES EXTERNES DE MORBIDITE ET DE MORTALITE)-W17 (W17)-W171 (( CIM10 : W17.1 ))
M4184	M4184 (Autres formes de scoliose   Région dorsale)	ICD10FR (code CIM10)-Chap13 (MALADIES SYST OSTEO ART MUSCLES ET TISSU CONJONCTIF)-M41 (SCOLIOSE)-M4184 (Autres formes de scoliose   Région dorsale)
M8087	M8087 (Autres ostéoporoses avec fracture pathologique   Cheville et pied)	ICD10FR (code CIM10)-Chap13 (MALADIES SYST OSTEO ART MUSCLES ET TISSU CONJONCTIF)-M80 (OSTEOPOROSE AVEC FRAC. PATHO.)-M8087 (Autres ostéoporoses avec fracture pathologique   Cheville et pied)
Z923	Z923 (Antécédents personnels d'irradiation)	ICD10FR (code CIM10)-Chap21 (FACTEURS INFLUANT L'ETAT DE SANTE)-Z92 (Atcd. PERS. DE TRAITEMENT MED.)-Z923 (Antécédents personnels d'irradiation)
H440	H440 (Endophtalmie purulente)	ICD10FR (code CIM10)-Chap7 (MALADIES OEIL ET ANNEXES)-H44 (AFF. DU GLOBE OCULAIRE)-H440 (Endophtalmie purulente)
N030	N030 (Syndrome néphritique chronique avec anomalies glomérulaires mineures)	ICD10FR (code CIM10)-Chap14 (MALADIES ORGANES GENITO URINAIRES)-N03 (SYND. NEPHRITIQUE CHRON.)-N030 (Syndrome néphritique chronique avec anomalies glomérulaires mineures)
Y880	Y880 (( CIM10 : Y88.0 ))	ICD10FR (code CIM10)-Chap20 (CAUSES EXTERNES DE MORBIDITE ET DE MORTALITE)-Y88 (Y88)-Y880 (( CIM10 : Y88.0 ))
T112	T112 (Luxation, entorse et foulure d'une articulation et d'un ligament non précisés du membre supérieur, niveau non précisé)	ICD10FR (code CIM10)-Chap19 (LESIONS TRAUMATIQUES ET EMPOISONNEMENTS)-T11 (LES. TRAUMA. NCA DU Mb. SUP., NIVEAU SAI)-T112 (Luxation, entorse et foulure d'une articulation et d'un ligament non précisés du membre supérieur, niveau non précisé)
X334	X334 (( CIM10 : X33.4 ))	ICD10FR (code CIM10)-Chap20 (CAUSES EXTERNES DE MORBIDITE ET DE MORTALITE)-X33 (X33)-X334 (( CIM10 : X33.4 ))
M8567	M8567 (Autres kystes osseux   Cheville et pied)	ICD10FR (code CIM10)-Chap13 (MALADIES SYST OSTEO ART MUSCLES ET TISSU CONJONCTIF)-M85 (ANOM. DE LA DENSITE ET DE LA STRUCTURE OSSEUSES, NCA)-M8567 (Autres kystes osseux   Cheville et pied)
C400	C400 (Tumeur maligne de l'omoplate et des os longs du membre supérieur)	ICD10FR (code CIM10)-Chap2 (TUMEURS)-C40 (T.M. DES OS ET DU CARTILAGE ARTIC. DES Mb.)-C400 (Tumeur maligne de l'omoplate et des os longs du membre supérieur)
S127	S127 (Fractures multiples du rachis cervical)	ICD10FR (code CIM10)-Chap19 (LESIONS TRAUMATIQUES ET EMPOISONNEMENTS)-S12 (FRAC. DU COU)-S127 (Fractures multiples du rachis cervical)
X289	X289 (( CIM10 : X28.9 ))	ICD10FR (code CIM10)-Chap20 (CAUSES EXTERNES DE MORBIDITE ET DE MORTALITE)-X28 (X28)-X289 (( CIM10 : X28.9 ))
M9427	M9427 (Chondromalacie   Cheville et pied)	ICD10FR (code CIM10)-Chap13 (MALADIES SYST OSTEO ART MUSCLES ET TISSU CONJONCTIF)-M94 (AFF. DU CARTILAGE, NCA)-M9427 (Chondromalacie   Cheville et pied)
T469	T469 (Intoxication par substances agissant essentiellement sur le système cardio vasculaire, autres et sans précision)	ICD10FR (code CIM10)-Chap19 (LESIONS TRAUMATIQUES ET EMPOISONNEMENTS)-T46 (INTOX. PAR SUBST. AGIS. SUR LE SYST. CARDIO VASC.)-T469 (Intoxication par substances agissant essentiellement sur le système cardio vasculaire, autres et sans précision)
E874	E874 (Anomalie mixte de l'équilibre acido basique)	ICD10FR (code CIM10)-Chap4 (MALADIES ENDOCRINES ,NUTRITION ,METABOLISME ET TR IMMUNITAIRE)-E87 (DESEQUILIBRES HYDRO ELECTROLYTIQUES ET ACIDO BASIQUES, NCA)-E874 (Anomalie mixte de l'équilibre acido basique)
X020	X020 (( CIM10 : X02.0 ))	ICD10FR (code CIM10)-Chap20 (CAUSES EXTERNES DE MORBIDITE ET DE MORTALITE)-X02 (X02)-X020 (( CIM10 : X02.0 ))
W739	W739 (( CIM10 : W73.9 ))	ICD10FR (code CIM10)-Chap20 (CAUSES EXTERNES DE MORBIDITE ET DE MORTALITE)-W73 (W73)-W739 (( CIM10 : W73.9 ))
M4183	M4183 (Autres formes de scoliose   Région cervico dorsale)	ICD10FR (code CIM10)-Chap13 (MALADIES SYST OSTEO ART MUSCLES ET TISSU CONJONCTIF)-M41 (SCOLIOSE)-M4183 (Autres formes de scoliose   Région cervico dorsale)
C410	C410 (Tumeur maligne des os du crâne et de la face)	ICD10FR (code CIM10)-Chap2 (TUMEURS)-C41 (T.M. DES OS ET DU CARTILAGE ARTIC., DE SIEGES NCA OU SAI)-C410 (Tumeur maligne des os du crâne et de la face)
Q333	Q333 (Agénésie du poumon)	ICD10FR (code CIM10)-Chap17 (ANOMALIES CONGENITALES)-Q33 (MALF. CONG. DU POUMON)-Q333 (Agénésie du poumon)
M653	M653 (Doigt 'à ressort')	ICD10FR (code CIM10)-Chap13 (MALADIES SYST OSTEO ART MUSCLES ET TISSU CONJONCTIF)-M65 (SYNOVITE ET TENOSYNOVITE)-M653 (Doigt 'à ressort')
M8782	M8782 (Autres ostéonécroses   Bras)	ICD10FR (code CIM10)-Chap13 (MALADIES SYST OSTEO ART MUSCLES ET TISSU CONJONCTIF)-M87 (OSTEONECROSE)-M8782 (Autres ostéonécroses   Bras)
M0709	M0709 (Arthropathie psoriasique distale interphalangienne (L40.5)   Siège non précisé)	ICD10FR (code CIM10)-Chap13 (MALADIES SYST OSTEO ART MUSCLES ET TISSU CONJONCTIF)-M07 (ARTHROPATHIES PSORIASIQUES ET ENTEROPATHIQUES)-M0709 (Arthropathie psoriasique distale interphalangienne (L40.5)   Siège non précisé)
S159	S159 (Lésion traumatique de vaisseaux sanguins non précisés au niveau du cou)	ICD10FR (code CIM10)-Chap19 (LESIONS TRAUMATIQUES ET EMPOISONNEMENTS)-S15 (LES. TRAUMA. DES Vssx. SANG. NIV. COU)-S159 (Lésion traumatique de vaisseaux sanguins non précisés au niveau du cou)
